seqNum,account,expense
55,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,0
55,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
55,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,0
56,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-239000
56,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-16000
56,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,254856
57,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-213000
57,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-36800
57,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,249676
58,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-202000
58,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-45600
58,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,247345
59,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-183000
59,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-60800
59,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,243719
60,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-163000
60,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-76800
60,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,239575
61,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,0
61,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
61,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,0
62,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,0
62,0x2205571079DeB4D9304142567Ff406ddE867DC8A,0
62,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,0
63,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-200000
63,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-47200
63,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,247086
64,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-210000
64,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-39200
64,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,249158
65,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-206000
65,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-42400
65,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,248381
66,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-155000
66,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-83200
66,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,238021
67,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-103000
67,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-124800
67,0x8b68Ee8002D48e56517289FD72594597DA74c8e2,227661
68,0x06A0f4E6aCf4917b789F913532171B7049F0Fd2a,-98000
68,0x2205571079DeB4D9304142567Ff406ddE867DC8A,-128800
